Ticker,Cum_Buy_%,Total_Score,Momentum_Score,Price,Buy_5m_%,Buy_1h_%,Buy_6h_%,Buy_1d_%,Buy_3d_%,Short_Term,Medium_Term,Long_Term
AIVC,82.15,53.72,37.13,77.32,83.33,81.65,81.65,81.65,81.65,67.19,99.27,5.45
PGHY,65.73,52.09,36.96,19.73,100.0,45.51,54.11,54.11,54.11,49.96,65.92,41.31
FLHY,73.58,55.7,36.85,24.28,56.82,49.54,98.32,98.21,97.48,50.48,77.51,39.88
IQM,79.81,51.83,36.8,98.71,100.0,71.16,71.16,71.16,71.16,67.21,93.86,5.45
SHNY,68.98,53.89,36.53,14.24,100.0,73.16,43.39,43.07,55.36,74.15,94.45,5.73
PSMR,81.14,53.83,36.44,31.0,85.37,79.33,79.33,79.33,79.33,33.26,86.19,38.38
LQD,67.49,58.83,36.3,109.43,92.79,70.73,48.69,48.69,49.27,70.92,51.12,58.01
QHY,65.24,50.32,36.26,46.06,90.04,52.71,55.66,55.66,55.66,41.71,75.13,33.99
ARTY,67.43,58.52,36.01,53.3,86.72,57.17,61.66,60.1,56.99,71.97,93.39,19.6
AOCT,90.29,51.71,35.73,26.81,100.0,86.13,86.13,86.13,86.13,43.77,70.26,40.45
NPFI,69.6,52.63,35.55,26.01,88.65,61.44,61.44,61.44,61.44,41.43,74.18,40.78
BLOX,70.23,45.96,35.37,14.73,100.0,50.01,63.04,60.73,58.93,75.92,50.0,23.71
PHYL,65.26,53.76,35.26,35.16,55.03,55.56,78.74,77.87,73.88,43.24,75.24,41.53
GGLL,65.13,59.18,34.97,95.56,100.0,55.5,45.02,45.16,54.8,80.85,100.0,9.92
PFRL,80.05,50.31,34.73,49.03,60.95,93.18,85.49,85.49,85.49,37.62,70.55,40.52
JANJ,71.01,51.1,34.67,24.57,100.0,58.59,58.59,58.59,58.59,44.22,68.18,40.45
QULL,70.0,50.29,34.46,56.37,0.0,100.0,100.0,100.0,100.0,69.72,87.66,5.45
DHDG,90.75,56.24,34.45,34.05,100.0,86.79,86.79,86.79,86.79,47.44,80.56,40.45
KDEF,72.34,61.19,34.31,60.31,100.0,76.12,50.93,51.66,54.12,62.78,100.0,26.23
SPPP,66.58,54.05,34.28,16.3,89.92,52.87,58.59,59.04,58.33,72.6,96.35,5.45
PPLT,65.7,62.82,34.03,186.66,100.0,58.02,44.11,44.52,57.2,66.49,100.0,28.0
GHYB,69.66,50.39,33.99,44.8,78.94,65.68,65.68,65.68,65.68,44.37,73.97,33.52
